MCE_Version	ICD_Version	MCE_Section	MCE_Subsection	MCE_Edit_Type	ICD_Code_Type	ICD_Code	ICD_Desc
31	9	4	A	Newborn_Only	D	27701	Cystic fibrosis w ileus
31	9	4	A	Newborn_Only	D	74783	Persistent fetal circ
31	9	4	A	Newborn_Only	D	76077	Mat anticonv aff NB/fet
31	9	4	A	Newborn_Only	D	76078	Mat antimetabol aff NB
31	9	4	A	Newborn_Only	D	7620	Placenta previa aff NB
31	9	4	A	Newborn_Only	D	7621	Placenta hem NEC aff NB
31	9	4	A	Newborn_Only	D	7622	Abn plac NEC/NOS aff NB
31	9	4	A	Newborn_Only	D	7623	Placent transfusion syn
31	9	4	A	Newborn_Only	D	7624	Prolapsed cord aff NB
31	9	4	A	Newborn_Only	D	7625	Oth umbil cord compress
31	9	4	A	Newborn_Only	D	7626	Umbil cond NEC aff NB
31	9	4	A	Newborn_Only	D	7627	Chorioamnionitis aff NB
31	9	4	A	Newborn_Only	D	7628	Abn amnion NEC aff NB
31	9	4	A	Newborn_Only	D	7629	Abn amnion NOS aff NB
31	9	4	A	Newborn_Only	D	7630	Breech del/extrac aff NB
31	9	4	A	Newborn_Only	D	7631	Malpos/dispro NEC aff NB
31	9	4	A	Newborn_Only	D	7632	Forceps delivery aff NB
31	9	4	A	Newborn_Only	D	7633	Vacuum extrac del aff NB
31	9	4	A	Newborn_Only	D	7634	Cesarean delivery aff NB
31	9	4	A	Newborn_Only	D	7635	Mat anesth/analg aff NB
31	9	4	A	Newborn_Only	D	7636	Precipitate del aff NB
31	9	4	A	Newborn_Only	D	7637	Abn uterine contr aff NB
31	9	4	A	Newborn_Only	D	76381	Ab ftl hrt rt/rh b/f lab
31	9	4	A	Newborn_Only	D	76382	Ab ftl hrt rt/rh dur lab
31	9	4	A	Newborn_Only	D	76383	Ab ftl hrt rt/rhy NOS
31	9	4	A	Newborn_Only	D	76384	Meconium dur del aff NB
31	9	4	A	Newborn_Only	D	76389	Compl del NEC aff NB
31	9	4	A	Newborn_Only	D	7639	Compl deliv NOS aff NB
31	9	4	A	Newborn_Only	D	76400	Light-for-dates wtNOS
31	9	4	A	Newborn_Only	D	76401	Light-for-dates <500g
31	9	4	A	Newborn_Only	D	76402	Lt-for-dates 500-749g
31	9	4	A	Newborn_Only	D	76403	Lt-for-dates 750-999g
31	9	4	A	Newborn_Only	D	76404	Lt-for-dates 1000-1249g
31	9	4	A	Newborn_Only	D	76405	Lt-for-dates 1250-1499g
31	9	4	A	Newborn_Only	D	76406	Lt-for-dates 1500-1749g
31	9	4	A	Newborn_Only	D	76407	Lt-for-dates 1750-1999g
31	9	4	A	Newborn_Only	D	76408	Lt-for-dates 2000-2499g
31	9	4	A	Newborn_Only	D	76409	Lt-for-dates 2500+g
31	9	4	A	Newborn_Only	D	76410	Lt-for-date w/mal wtNOS
31	9	4	A	Newborn_Only	D	76411	Lt-for-date w/mal <500g
31	9	4	A	Newborn_Only	D	76412	Lt-date w/mal 500-749g
31	9	4	A	Newborn_Only	D	76413	Lt-date w/mal 750-999g
31	9	4	A	Newborn_Only	D	76414	Lt-date w/mal 1000-1249g
31	9	4	A	Newborn_Only	D	76415	Lt-date w/mal 1250-1499g
31	9	4	A	Newborn_Only	D	76416	Lt-date w/mal 1500-1749g
31	9	4	A	Newborn_Only	D	76417	Lt-date w/mal 1750-1999g
31	9	4	A	Newborn_Only	D	76418	Lt-date w/mal 2000-2499g
31	9	4	A	Newborn_Only	D	76419	Lt-for-date w/mal 2500+g
31	9	4	A	Newborn_Only	D	76420	Fetal malnutrition wtNOS
31	9	4	A	Newborn_Only	D	76421	Fetal malnutrition <500g
31	9	4	A	Newborn_Only	D	76422	Fetal malnutr 500-749g
31	9	4	A	Newborn_Only	D	76423	Fetal mal 750-999g
31	9	4	A	Newborn_Only	D	76424	Fetal mal 1000-1249g
31	9	4	A	Newborn_Only	D	76425	Fetal mal 1250-1499g
31	9	4	A	Newborn_Only	D	76426	Fetal mal 1500-1749g
31	9	4	A	Newborn_Only	D	76427	Fetal malnutr 1750-1999g
31	9	4	A	Newborn_Only	D	76428	Fetal malnutr 2000-2499g
31	9	4	A	Newborn_Only	D	76429	Fetal malnutr 2500+g
31	9	4	A	Newborn_Only	D	76490	Fet growth retard wtNOS
31	9	4	A	Newborn_Only	D	76491	Fet growth retard <500g
31	9	4	A	Newborn_Only	D	76492	Fet growth ret 500-749g
31	9	4	A	Newborn_Only	D	76493	Fet growth ret 750-999g
31	9	4	A	Newborn_Only	D	76494	Fet grwth ret 1000-1249g
31	9	4	A	Newborn_Only	D	76495	Fet grwth ret 1250-1499g
31	9	4	A	Newborn_Only	D	76496	Fet grwth ret 1500-1749g
31	9	4	A	Newborn_Only	D	76497	Fet grwth ret 1750-1999g
31	9	4	A	Newborn_Only	D	76498	Fet grwth ret 2000-2499g
31	9	4	A	Newborn_Only	D	76499	Fet growth ret 2500+g
31	9	4	A	Newborn_Only	D	76500	Extreme immatur wtNOS
31	9	4	A	Newborn_Only	D	76501	Extreme immatur <500g
31	9	4	A	Newborn_Only	D	76502	Extreme immatur 500-749g
31	9	4	A	Newborn_Only	D	76503	Extreme immatur 750-999g
31	9	4	A	Newborn_Only	D	76504	Extreme immat 1000-1249g
31	9	4	A	Newborn_Only	D	76505	Extreme immat 1250-1499g
31	9	4	A	Newborn_Only	D	76506	Extreme immat 1500-1749g
31	9	4	A	Newborn_Only	D	76507	Extreme immat 1750-1999g
31	9	4	A	Newborn_Only	D	76508	Extreme immat 2000-2499g
31	9	4	A	Newborn_Only	D	76509	Extreme immat 2500+g
31	9	4	A	Newborn_Only	D	76510	Preterm infant NEC wtNOS
31	9	4	A	Newborn_Only	D	76511	Preterm NEC <500g
31	9	4	A	Newborn_Only	D	76512	Preterm NEC 500-749g
31	9	4	A	Newborn_Only	D	76513	Preterm NEC 750-999g
31	9	4	A	Newborn_Only	D	76514	Preterm NEC 1000-1249g
